Index,Prob,Author,Chunk_no,First,Last,Size
46,0.004329004,Athenaeus,46, Athenaeus Book 13: s-1291 w-6, Athenaeus Book 13: s-1414 w-18,2000
48,0.007575758,Diodorus,48, Diod. Sic. Book 11: s-1 w-1, Diod. Sic. Book 11: s-81 w-34,2000
49,0.007575758,Diodorus,49, Diod. Sic. Book 11: s-81 w-35, Diod. Sic. Book 11: s-168 w-5,2000
50,0.007575758,Diodorus,50, Diod. Sic. Book 11: s-168 w-6, Diod. Sic. Book 11: s-253 w-7,2000
51,0.007575758,Diodorus,51, Diod. Sic. Book 11: s-253 w-8, Diod. Sic. Book 11: s-328 w-18,2000
52,0.007575758,Diodorus,52, Diod. Sic. Book 11: s-328 w-19, Diod. Sic. Book 11: s-408 w-33,2000
53,0.007575758,Diodorus,53, Diod. Sic. Book 11: s-408 w-34, Diod. Sic. Book 11: s-489 w-1,2000
54,0.007575758,Diodorus,54, Diod. Sic. Book 11: s-489 w-2, Diod. Sic. Book 11: s-564 w-21,2000
55,0.007575758,Diodorus,55, Diod. Sic. Book 11: s-564 w-22, Diod. Sic. Book 11: s-642 w-37,2000
56,0.007575758,Diodorus,56, Diod. Sic. Book 11: s-642 w-38, Diod. Sic. Book 11: s-726 w-7,2000
57,0.007575758,Diodorus,57, Diod. Sic. Book 11: s-726 w-8, Diod. Sic. Book 11: s-807 w-25,2000
58,0.007575758,Diodorus,58, Diod. Sic. Book 11: s-807 w-26, Diod. Sic. Book 11: s-891 w-22,2000
59,0.007575758,Diodorus,59, Diod. Sic. Book 11: s-891 w-23, Diod. Sic. Book 11: s-982 w-1,2000
61,0.006060606,Herodotus,61, Hdt Book 1: s-1 w-1, Hdt Book 1: s-103 w-30,2000
62,0.006060606,Herodotus,62, Hdt Book 1: s-103 w-31, Hdt Book 1: s-201 w-36,2000
63,0.006060606,Herodotus,63, Hdt Book 1: s-201 w-37, Hdt Book 1: s-308 w-26,2000
64,0.006060606,Herodotus,64, Hdt Book 1: s-308 w-27, Hdt Book 1: s-400 w-4,2000
65,0.006060606,Herodotus,65, Hdt Book 1: s-400 w-5, Hdt Book 1: s-503 w-11,2000
66,0.006060606,Herodotus,66, Hdt Book 1: s-503 w-13, Hdt Book 1: s-598 w-5,2000
67,0.006060606,Herodotus,67, Hdt Book 1: s-598 w-6, Hdt Book 1: s-697 w-3,2000
68,0.006060606,Herodotus,68, Hdt Book 1: s-697 w-4, Hdt Book 1: s-787 w-13,2000
69,0.006060606,Herodotus,69, Hdt Book 1: s-787 w-14, Hdt Book 1: s-887 w-4,2000
70,0.006060606,Herodotus,70, Hdt Book 1: s-887 w-5, Hdt Book 1: s-993 w-10,2000
71,0.006060606,Herodotus,71, Hdt Book 1: s-993 w-11, Hdt Book 1: s-1089 w-17,2000
72,0.006060606,Herodotus,72, Hdt Book 1: s-1089 w-18, Hdt Book 1: s-1189 w-13,2000
73,0.006060606,Herodotus,73, Hdt Book 1: s-1189 w-14, Hdt Book 1: s-1292 w-19,2000
74,0.006060606,Herodotus,74, Hdt Book 1: s-1292 w-20, Hdt Book 1: s-1376 w-3,2000
75,0.006060606,Herodotus,75, Hdt Book 1: s-1376 w-4, Hdt Book 1: s-1492 w-13,2000
77,0.01298701,Hesiod,77,urn:cts:greekLit:tlg0020.tlg003:1.1 Hesiod Shield: s-1 w-1,urn:cts:greekLit:tlg0020.tlg003:1.261 Hesiod Shield: s-135 w-7,2000
79,0.01298701,Hesiod,79,urn:cts:greekLit:tlg0020.tlg001:1.1 Hesiod Theogony: s-1 w-1,urn:cts:greekLit:tlg0020.tlg001:1.267 Hesiod Theogony: s-112 w-8,2000
80,0.01298701,Hesiod,80,urn:cts:greekLit:tlg0020.tlg001:1.267 Hesiod Theogony: s-112 w-9,Hesiod Theogony: s-216 w-40,2000
81,0.01298701,Hesiod,81,Hesiod Theogony: s-216 w-41,urn:cts:greekLit:tlg0020.tlg001:1.797 Hesiod Theogony: s-335 w-15,2000
83,0.01298701,Hesiod,83, Hesiod Works: s-1 w-1, Hesiod Works: s-149 w-12,2000
84,0.01298701,Hesiod,84, Hesiod Works: s-149 w-13, Hesiod Works: s-296 w-2,2000
85,0.01298701,Hesiod,85, Hesiod Works: s-296 w-3,Hesiod Works: s-436 w-8,2000
87,0.001490313,Iliad,87,urn:cts:greekLit:tlg0012.tlg001:1.1 Homer Iliad: s-1 w-1,urn:cts:greekLit:tlg0012.tlg001:1.243 Homer Iliad: s-135 w-3,2000
88,0.001490313,Iliad,88,urn:cts:greekLit:tlg0012.tlg001:1.243 Homer Iliad: s-135 w-4,urn:cts:greekLit:tlg0012.tlg001:1.492 Homer Iliad: s-274 w-19,2000
89,0.001490313,Iliad,89,urn:cts:greekLit:tlg0012.tlg001:1.492 Homer Iliad: s-274 w-20,urn:cts:greekLit:tlg0012.tlg001:2.132 Homer Iliad: s-426 w-15,2000
90,0.001490313,Iliad,90,urn:cts:greekLit:tlg0012.tlg001:2.132 Homer Iliad: s-426 w-16,urn:cts:greekLit:tlg0012.tlg001:2.386 Homer Iliad: s-565 w-5,2000
91,0.001490313,Iliad,91,urn:cts:greekLit:tlg0012.tlg001:2.386 Homer Iliad: s-565 w-6,urn:cts:greekLit:tlg0012.tlg001:2.657 Homer Iliad: s-668 w-5,2000
92,0.001490313,Iliad,92,urn:cts:greekLit:tlg0012.tlg001:2.657 Homer Iliad: s-668 w-6,urn:cts:greekLit:tlg0012.tlg001:3.45 Homer Iliad: s-788 w-22,2000
93,0.001490313,Iliad,93,urn:cts:greekLit:tlg0012.tlg001:3.45 Homer Iliad: s-788 w-23,Homer Iliad: s-924 w-31,2000
94,0.001490313,Iliad,94,Homer Iliad: s-924 w-32,urn:cts:greekLit:tlg0012.tlg001:4.95 Homer Iliad: s-1073 w-8,2000
95,0.001490313,Iliad,95,urn:cts:greekLit:tlg0012.tlg001:4.95 Homer Iliad: s-1073 w-9,urn:cts:greekLit:tlg0012.tlg001:4.351 Homer Iliad: s-1213 w-6,2000
96,0.001490313,Iliad,96,urn:cts:greekLit:tlg0012.tlg001:4.351 Homer Iliad: s-1213 w-7,urn:cts:greekLit:tlg0012.tlg001:5.63 Homer Iliad: s-1356 w-11,2000
97,0.001490313,Iliad,97,urn:cts:greekLit:tlg0012.tlg001:5.63 Homer Iliad: s-1356 w-12,urn:cts:greekLit:tlg0012.tlg001:5.309 Homer Iliad: s-1493 w-5,2000
98,0.001490313,Iliad,98,urn:cts:greekLit:tlg0012.tlg001:5.309 Homer Iliad: s-1493 w-6,urn:cts:greekLit:tlg0012.tlg001:5.567 Homer Iliad: s-1624 w-8,2000
99,0.001490313,Iliad,99,urn:cts:greekLit:tlg0012.tlg001:5.567 Homer Iliad: s-1624 w-10,urn:cts:greekLit:tlg0012.tlg001:5.827 Homer Iliad: s-1766 w-11,2000
100,0.001490313,Iliad,100,urn:cts:greekLit:tlg0012.tlg001:5.827 Homer Iliad: s-1766 w-12,urn:cts:greekLit:tlg0012.tlg001:6.176 Homer Iliad: s-1907 w-8,2000
101,0.001490313,Iliad,101,urn:cts:greekLit:tlg0012.tlg001:6.176 Homer Iliad: s-1907 w-9,Homer Iliad: s-2035 w-19,2000
102,0.001490313,Iliad,102,urn:cts:greekLit:tlg0012.tlg001:6.431 Homer Iliad: s-2036 w-1,urn:cts:greekLit:tlg0012.tlg001:7.156 Homer Iliad: s-2170 w-5,2000
103,0.001490313,Iliad,103,urn:cts:greekLit:tlg0012.tlg001:7.156 Homer Iliad: s-2170 w-6,urn:cts:greekLit:tlg0012.tlg001:7.409 Homer Iliad: s-2312 w-5,2000
104,0.001490313,Iliad,104,urn:cts:greekLit:tlg0012.tlg001:7.409 Homer Iliad: s-2312 w-6,urn:cts:greekLit:tlg0012.tlg001:8.177 Homer Iliad: s-2453 w-6,2000
105,0.001490313,Iliad,105,urn:cts:greekLit:tlg0012.tlg001:8.177 Homer Iliad: s-2453 w-7,urn:cts:greekLit:tlg0012.tlg001:8.435 Homer Iliad: s-2578 w-17,2000
106,0.001490313,Iliad,106,urn:cts:greekLit:tlg0012.tlg001:8.435 Homer Iliad: s-2578 w-18,urn:cts:greekLit:tlg0012.tlg001:9.126 Homer Iliad: s-2720 w-12,2000
107,0.001490313,Iliad,107,urn:cts:greekLit:tlg0012.tlg001:9.126 Homer Iliad: s-2720 w-13, Homer Iliad: s-2850 w-4,2000
108,0.001490313,Iliad,108,Homer Iliad: s-2850 w-5,urn:cts:greekLit:tlg0012.tlg001:9.630 Homer Iliad: s-2964 w-12,2000
109,0.001490313,Iliad,109,urn:cts:greekLit:tlg0012.tlg001:9.630 Homer Iliad: s-2964 w-13,urn:cts:greekLit:tlg0012.tlg001:10.167 Homer Iliad: s-3110 w-16,2000
110,0.001490313,Iliad,110, Homer Iliad: s-3110 w-17,urn:cts:greekLit:tlg0012.tlg001:10.413 Homer Iliad: s-3254 w-4,2000
111,0.001490313,Iliad,111,urn:cts:greekLit:tlg0012.tlg001:10.413 Homer Iliad: s-3254 w-5,urn:cts:greekLit:tlg0012.tlg001:11.92 Homer Iliad: s-3391 w-4,2000
112,0.001490313,Iliad,112,urn:cts:greekLit:tlg0012.tlg001:11.92 Homer Iliad: s-3391 w-5,urn:cts:greekLit:tlg0012.tlg001:11.345 Homer Iliad: s-3524 w-4,2000
113,0.001490313,Iliad,113,urn:cts:greekLit:tlg0012.tlg001:11.345 Homer Iliad: s-3524 w-5, Homer Iliad: s-3660 w-9,2000
114,0.001490313,Iliad,114,urn:cts:greekLit:tlg0012.tlg001:11.596 Homer Iliad: s-3661 w-1,urn:cts:greekLit:tlg0012.tlg001:12.2 Homer Iliad: s-3798 w-10,2000
115,0.001490313,Iliad,115,urn:cts:greekLit:tlg0012.tlg001:12.2 Homer Iliad: s-3798 w-11,urn:cts:greekLit:tlg0012.tlg001:12.262 Homer Iliad: s-3918 w-4,2000
116,0.001490313,Iliad,116,urn:cts:greekLit:tlg0012.tlg001:12.262 Homer Iliad: s-3918 w-5,urn:cts:greekLit:tlg0012.tlg001:13.46 Homer Iliad: s-4039 w-1,2000
117,0.001490313,Iliad,117,urn:cts:greekLit:tlg0012.tlg001:13.46 Homer Iliad: s-4039 w-2,urn:cts:greekLit:tlg0012.tlg001:13.301 Homer Iliad: s-4178 w-3,2000
118,0.001490313,Iliad,118,urn:cts:greekLit:tlg0012.tlg001:13.301 Homer Iliad: s-4178 w-4,urn:cts:greekLit:tlg0012.tlg001:13.557 Homer Iliad: s-4311 w-8,2000
119,0.001490313,Iliad,119,urn:cts:greekLit:tlg0012.tlg001:13.557 Homer Iliad: s-4311 w-9,urn:cts:greekLit:tlg0012.tlg001:13.814 Homer Iliad: s-4447 w-8,2000
120,0.001490313,Iliad,120, Homer Iliad: s-4447 w-9,urn:cts:greekLit:tlg0012.tlg001:14.232 Homer Iliad: s-4583 w-15,2000
121,0.001490313,Iliad,121,urn:cts:greekLit:tlg0012.tlg001:14.232 Homer Iliad: s-4583 w-16,urn:cts:greekLit:tlg0012.tlg001:14.483 Homer Iliad: s-4715 w-7,2000
122,0.001490313,Iliad,122,urn:cts:greekLit:tlg0012.tlg001:14.483 Homer Iliad: s-4715 w-8,urn:cts:greekLit:tlg0012.tlg001:15.213 Homer Iliad: s-4843 w-6,2000
123,0.001490313,Iliad,123,urn:cts:greekLit:tlg0012.tlg001:15.213 Homer Iliad: s-4843 w-7,urn:cts:greekLit:tlg0012.tlg001:15.475 Homer Iliad: s-4970 w-11,2000
124,0.001490313,Iliad,124,urn:cts:greekLit:tlg0012.tlg001:15.475 Homer Iliad: s-4970 w-12,urn:cts:greekLit:tlg0012.tlg001:15.730 Homer Iliad: s-5109 w-10,2000
125,0.001490313,Iliad,125,urn:cts:greekLit:tlg0012.tlg001:15.731 Homer Iliad: s-5109 w-11,urn:cts:greekLit:tlg0012.tlg001:16.248 Homer Iliad: s-5244 w-19,2000
126,0.001490313,Iliad,126,urn:cts:greekLit:tlg0012.tlg001:16.248 Homer Iliad: s-5244 w-20,urn:cts:greekLit:tlg0012.tlg001:16.508 Homer Iliad: s-5385 w-3,2000
127,0.001490313,Iliad,127,urn:cts:greekLit:tlg0012.tlg001:16.508 Homer Iliad: s-5385 w-4,urn:cts:greekLit:tlg0012.tlg001:16.763 Homer Iliad: s-5521 w-1,2000
128,0.001490313,Iliad,128,urn:cts:greekLit:tlg0012.tlg001:16.763 Homer Iliad: s-5521 w-2,urn:cts:greekLit:tlg0012.tlg001:17.146 Homer Iliad: s-5658 w-2,2000
129,0.001490313,Iliad,129,urn:cts:greekLit:tlg0012.tlg001:17.146 Homer Iliad: s-5658 w-3,urn:cts:greekLit:tlg0012.tlg001:17.404 Homer Iliad: s-5785 w-10,2000
130,0.001490313,Iliad,130, Homer Iliad: s-5785 w-11,urn:cts:greekLit:tlg0012.tlg001:17.658 Homer Iliad: s-5923 w-28,2000
131,0.001490313,Iliad,131,urn:cts:greekLit:tlg0012.tlg001:17.658 Homer Iliad: s-5923 w-29, Homer Iliad: s-6053 w-16,2000
132,0.001490313,Iliad,132,Homer Iliad: s-6053 w-17,urn:cts:greekLit:tlg0012.tlg001:18.401 Homer Iliad: s-6204 w-8,2000
133,0.001490313,Iliad,133,urn:cts:greekLit:tlg0012.tlg001:18.401 Homer Iliad: s-6204 w-9,urn:cts:greekLit:tlg0012.tlg001:19.34 Homer Iliad: s-6346 w-8,2000
134,0.001490313,Iliad,134,urn:cts:greekLit:tlg0012.tlg001:19.35 Homer Iliad: s-6346 w-9,urn:cts:greekLit:tlg0012.tlg001:19.291 Homer Iliad: s-6485 w-3,2000
135,0.001490313,Iliad,135,urn:cts:greekLit:tlg0012.tlg001:19.291 Homer Iliad: s-6485 w-4,urn:cts:greekLit:tlg0012.tlg001:20.125 Homer Iliad: s-6620 w-4,2000
136,0.001490313,Iliad,136,urn:cts:greekLit:tlg0012.tlg001:20.125 Homer Iliad: s-6620 w-5,urn:cts:greekLit:tlg0012.tlg001:20.380 Homer Iliad: s-6755 w-14,2000
137,0.001490313,Iliad,137,urn:cts:greekLit:tlg0012.tlg001:20.380 Homer Iliad: s-6755 w-15,urn:cts:greekLit:tlg0012.tlg001:21.124 Homer Iliad: s-6891 w-5,2000
138,0.001490313,Iliad,138,urn:cts:greekLit:tlg0012.tlg001:21.124 Homer Iliad: s-6891 w-6,urn:cts:greekLit:tlg0012.tlg001:21.373 Homer Iliad: s-7032 w-11,2000
139,0.001490313,Iliad,139,urn:cts:greekLit:tlg0012.tlg001:21.373 Homer Iliad: s-7032 w-12,urn:cts:greekLit:tlg0012.tlg001:22.16 Homer Iliad: s-7182 w-4,2000
140,0.001490313,Iliad,140,urn:cts:greekLit:tlg0012.tlg001:22.17 Homer Iliad: s-7182 w-5,urn:cts:greekLit:tlg0012.tlg001:22.263 Homer Iliad: s-7312 w-15,2000
141,0.001490313,Iliad,141,urn:cts:greekLit:tlg0012.tlg001:22.263 Homer Iliad: s-7312 w-16,urn:cts:greekLit:tlg0012.tlg001:22.507 Homer Iliad: s-7448 w-7,2000
142,0.001490313,Iliad,142,urn:cts:greekLit:tlg0012.tlg001:22.507 Homer Iliad: s-7448 w-8,urn:cts:greekLit:tlg0012.tlg001:23.252 Homer Iliad: s-7588 w-2,2000
143,0.001490313,Iliad,143,urn:cts:greekLit:tlg0012.tlg001:23.252 Homer Iliad: s-7588 w-3,urn:cts:greekLit:tlg0012.tlg001:23.509 Homer Iliad: s-7739 w-6,2000
144,0.001490313,Iliad,144,urn:cts:greekLit:tlg0012.tlg001:23.509 Homer Iliad: s-7739 w-7,urn:cts:greekLit:tlg0012.tlg001:23.759 Homer Iliad: s-7898 w-4,2000
145,0.001490313,Iliad,145,urn:cts:greekLit:tlg0012.tlg001:23.759 Homer Iliad: s-7898 w-5, Homer Iliad: s-8049 w-13,2000
146,0.001490313,Iliad,146,urn:cts:greekLit:tlg0012.tlg001:24.109 Homer Iliad: s-8050 w-1,urn:cts:greekLit:tlg0012.tlg001:24.354 Homer Iliad: s-8173 w-2,2000
147,0.001490313,Iliad,147,urn:cts:greekLit:tlg0012.tlg001:24.354 Homer Iliad: s-8173 w-3, Homer Iliad: s-8303 w-10,2000
149,0.001855288,Odyssey,149,urn:cts:greekLit:tlg0012.tlg002:1.1 Homer Odyssey: s-1 w-1,urn:cts:greekLit:tlg0012.tlg002:1.255 Homer Odyssey: s-133 w-7,2000
150,0.001855288,Odyssey,150,urn:cts:greekLit:tlg0012.tlg002:1.255 Homer Odyssey: s-133 w-8,urn:cts:greekLit:tlg0012.tlg002:2.56 Homer Odyssey: s-264 w-15,2000
151,0.001855288,Odyssey,151,urn:cts:greekLit:tlg0012.tlg002:2.57 Homer Odyssey: s-264 w-16,urn:cts:greekLit:tlg0012.tlg002:2.299 Homer Odyssey: s-397 w-12,2000
152,0.001855288,Odyssey,152,urn:cts:greekLit:tlg0012.tlg002:2.299 Homer Odyssey: s-397 w-13,urn:cts:greekLit:tlg0012.tlg002:3.109 Homer Odyssey: s-545 w-4,2000
153,0.001855288,Odyssey,153,urn:cts:greekLit:tlg0012.tlg002:3.109 Homer Odyssey: s-545 w-5,urn:cts:greekLit:tlg0012.tlg002:3.356 Homer Odyssey: s-672 w-1,2000
154,0.001855288,Odyssey,154,urn:cts:greekLit:tlg0012.tlg002:3.356 Homer Odyssey: s-672 w-2,urn:cts:greekLit:tlg0012.tlg002:4.108 Homer Odyssey: s-800 w-12,2000
155,0.001855288,Odyssey,155,urn:cts:greekLit:tlg0012.tlg002:4.108 Homer Odyssey: s-800 w-13,urn:cts:greekLit:tlg0012.tlg002:4.359 Homer Odyssey: s-922 w-17,2000
156,0.001855288,Odyssey,156, Homer Odyssey: s-922 w-18,urn:cts:greekLit:tlg0012.tlg002:4.599 Homer Odyssey: s-1062 w-2,2000
157,0.001855288,Odyssey,157,urn:cts:greekLit:tlg0012.tlg002:4.599 Homer Odyssey: s-1062 w-3,urn:cts:greekLit:tlg0012.tlg002:4.839 Homer Odyssey: s-1208 w-5,2000
158,0.001855288,Odyssey,158,urn:cts:greekLit:tlg0012.tlg002:4.840 Homer Odyssey: s-1208 w-6,urn:cts:greekLit:tlg0012.tlg002:5.237 Homer Odyssey: s-1339 w-4,2000
159,0.001855288,Odyssey,159,urn:cts:greekLit:tlg0012.tlg002:5.237 Homer Odyssey: s-1339 w-5,urn:cts:greekLit:tlg0012.tlg002:5.479 Homer Odyssey: s-1473 w-15,2000
160,0.001855288,Odyssey,160,urn:cts:greekLit:tlg0012.tlg002:5.479 Homer Odyssey: s-1473 w-16,urn:cts:greekLit:tlg0012.tlg002:6.226 Homer Odyssey: s-1612 w-23,2000
161,0.001855288,Odyssey,161,urn:cts:greekLit:tlg0012.tlg002:6.226 Homer Odyssey: s-1612 w-24,urn:cts:greekLit:tlg0012.tlg002:7.144 Homer Odyssey: s-1751 w-8,2000
162,0.001855288,Odyssey,162,urn:cts:greekLit:tlg0012.tlg002:7.144 Homer Odyssey: s-1751 w-9,urn:cts:greekLit:tlg0012.tlg002:8.49 Homer Odyssey: s-1883 w-9,2000
163,0.001855288,Odyssey,163,urn:cts:greekLit:tlg0012.tlg002:8.49 Homer Odyssey: s-1883 w-10,urn:cts:greekLit:tlg0012.tlg002:8.294 Homer Odyssey: s-2015 w-10,2000
164,0.001855288,Odyssey,164,urn:cts:greekLit:tlg0012.tlg002:8.294 Homer Odyssey: s-2015 w-11,urn:cts:greekLit:tlg0012.tlg002:8.541 Homer Odyssey: s-2156 w-6,2000
165,0.001855288,Odyssey,165, Homer Odyssey: s-2156 w-7,urn:cts:greekLit:tlg0012.tlg002:9.205 Homer Odyssey: s-2281 w-4 Homer Odyssey: s-2281 w-4,2000
166,0.001855288,Odyssey,166,urn:cts:greekLit:tlg0012.tlg002:9.206 Homer Odyssey: s-2281 w-5 Homer Odyssey: s-2281 w-5, Homer Odyssey: s-2422 w-1 Homer Odyssey: s-2422 w-1,2000
167,0.001855288,Odyssey,167,urn:cts:greekLit:tlg0012.tlg002:9.447 Homer Odyssey: s-2422 w-2 Homer Odyssey: s-2422 w-2,urn:cts:greekLit:tlg0012.tlg002:10.146 Homer Odyssey: s-2559 w-19 Homer Odyssey: s-2559 w-19,2000
168,0.001855288,Odyssey,168,urn:cts:greekLit:tlg0012.tlg002:10.146 Homer Odyssey: s-2559 w-20 Homer Odyssey: s-2559 w-20,urn:cts:greekLit:tlg0012.tlg002:10.384 Homer Odyssey: s-2704 w-14 Homer Odyssey: s-2704 w-14,2000
169,0.001855288,Odyssey,169,urn:cts:greekLit:tlg0012.tlg002:10.384 Homer Odyssey: s-2704 w-15 Homer Odyssey: s-2704 w-15,urn:cts:greekLit:tlg0012.tlg002:11.61 Homer Odyssey: s-2834 w-13 Homer Odyssey: s-2834 w-13,2000
170,0.001855288,Odyssey,170,urn:cts:greekLit:tlg0012.tlg002:11.61 Homer Odyssey: s-2834 w-14 Homer Odyssey: s-2834 w-14,urn:cts:greekLit:tlg0012.tlg002:11.310 Homer Odyssey: s-2958 w-42 Homer Odyssey: s-2958 w-42,2000
171,0.001855288,Odyssey,171,urn:cts:greekLit:tlg0012.tlg002:11.310 Homer Odyssey: s-2958 w-43 Homer Odyssey: s-2958 w-43, Homer Odyssey: s-3083 w-20 Homer Odyssey: s-3083 w-20,2000
172,0.001855288,Odyssey,172,urn:cts:greekLit:tlg0012.tlg002:11.555 Homer Odyssey: s-3084 w-1 Homer Odyssey: s-3084 w-1,urn:cts:greekLit:tlg0012.tlg002:12.159 Homer Odyssey: s-3214 w-10 Homer Odyssey: s-3214 w-10,2000
173,0.001855288,Odyssey,173, Homer Odyssey: s-3214 w-11 Homer Odyssey: s-3214 w-11,urn:cts:greekLit:tlg0012.tlg002:12.412 Homer Odyssey: s-3343 w-8 Homer Odyssey: s-3343 w-8,2000
174,0.001855288,Odyssey,174,urn:cts:greekLit:tlg0012.tlg002:12.412 Homer Odyssey: s-3343 w-9 Homer Odyssey: s-3343 w-9,urn:cts:greekLit:tlg0012.tlg002:13.208 Homer Odyssey: s-3482 w-20,2000
175,0.001855288,Odyssey,175,urn:cts:greekLit:tlg0012.tlg002:13.208 Homer Odyssey: s-3482 w-21,urn:cts:greekLit:tlg0012.tlg002:14.15 Homer Odyssey: s-3607 w-4,2000
